ride_id,driver_id,passenger_id,pickup_location,dropoff_location,ride_distance,ride_duration,ride_timestamp,fare_amount,payment_method
25,123,240,Sasaram,Chapra,13.11,22,2023-07-16,577.38,Cash
26,133,218,Surendranagar Dudhrej,Anand,6.93,60,2022-12-16,810.56,Cash
27,103,209,Bokaro,Tirupati,10.17,7,2023-01-07,3078.34,Cash
28,142,247,Baranagar,Ghaziabad,7.62,39,2022-10-22,1842.38,Credit Card
29,146,247,Ozhukarai,Bokaro,5.46,24,2023-04-06,2439.13,Cash
30,142,222,Karimnagar,Udaipur,14.01,16,2022-11-18,2189.55,Cash
31,109,218,Surendranagar Dudhrej,Howrah,4.62,60,2023-07-16,3199.78,Cash
32,111,247,Ghaziabad,Sri Ganganagar,3.45,30,2023-03-20,929.76,Credit Card
33,144,235,Nagaon,Bettiah,12.17,25,2022-12-26,3039.60,Credit Card
34,149,239,Belgaum,Thanjavur,11.61,28,2023-05-08,2832.49,Credit Card
35,133,240,Sangli-Miraj & Kupwad,Ongole,6.55,32,2023-05-14,2383.26,Cash
36,101,234,Ratlam,Medininagar,1.27,11,2023-05-22,1356.64,Cash
37,149,204,Ichalkaranji,Tinsukia,14.27,24,2023-04-15,1254.58,Cash
38,110,248,Burhanpur,Kota,13.40,33,2022-08-24,1857.29,Credit Card
39,105,243,Ambarnath,Ludhiana,17.66,31,2022-10-05,2999.37,Cash
40,143,207,Bhusawal,Aurangabad,12.83,43,2022-09-20,3508.95,Credit Card
41,116,233,Asansol,Tiruchirappalli,12.70,9,2022-11-06,3449.35,Cash
42,121,239,Bilaspur,Bokaro,2.22,27,2022-12-19,2380.28,Cash
43,120,229,Morena,Guwahati,11.42,41,2022-10-25,3181.89,Credit Card
44,148,214,Purnia,Bally,5.51,57,2022-12-11,2670.08,Cash
45,109,225,Ghaziabad,Munger,7.44,36,2022-08-12,1461.69,Cash
46,144,235,Bhatpara,Motihari,5.07,37,2022-08-12,3104.41,Cash
47,126,231,Eluru,Danapur,9.24,5,2022-11-13,1606.22,Cash
48,116,221,Nellore,Salem,17.92,53,2022-10-01,1495.96,Credit Card
49,127,225,Nagaon,Ludhiana,12.98,32,2023-06-24,2810.14,Cash
50,148,239,New Delhi,Nanded,4.71,39,2023-06-24,3307.05,Credit Card
51,101,236,Satna,Shivpuri,5.88,59,2023-03-04,3304.08,Cash
52,129,212,Mirzapur,Jamnagar,6.56,9,2023-07-28,1074.29,Cash
53,137,241,Davanagere,Ichalkaranji,18.75,43,2022-11-13,952.11,Cash
54,130,247,Panvel,Anantapur,10.19,44,2023-04-05,2186.58,Cash
55,149,205,Secunderabad,Ambala,11.30,45,2023-05-27,3653.48,Cash
56,129,214,Jamalpur,Chinsurah,5.06,18,2023-01-07,3600.59,Credit Card
57,103,245,Karaikudi,Bhusawal,15.24,8,2023-01-31,1767.88,Cash
58,146,228,Karimnagar,Nangloi Jat,6.90,16,2023-06-12,828.44,Cash
59,135,224,Gandhidham,Ambarnath,17.72,6,2022-11-05,2818.34,Cash
60,114,224,Tadipatri,Akola,7.06,33,2022-11-30,1274.69,Cash
61,110,203,Panchkula,Agartala,19.07,36,2023-04-05,2602.28,Cash
62,140,231,Silchar,Srinagar,9.84,43,2023-01-16,1192.75,Cash
63,107,244,Gwalior,Deoghar,19.25,5,2022-08-25,3348.03,Cash
64,128,236,Thiruvananthapuram,Malda,14.11,16,2022-08-27,1006.50,Credit Card
65,146,210,Asansol,Muzaffarnagar,4.79,14,2023-07-25,918.59,Credit Card
66,116,248,Hospet,Thoothukudi,13.76,26,2022-08-23,1009.48,Credit Card
67,126,244,Bulandshahr,Purnia,6.26,7,2023-05-05,3469.47,Cash
68,136,232,Sagar,Kanpur,12.81,39,2023-01-07,3333.13,Cash
69,110,235,Kirari Suleman Nagar,Panihati,1.60,8,2023-05-20,823.97,Cash
70,137,201,Panihati,Amritsar,8.86,41,2023-01-13,482.76,Credit Card
71,115,222,Morena,Shahjahanpur,5.37,52,2023-07-24,2728.94,Cash
72,142,222,Danapur,Gandhidham,13.77,13,2022-12-15,3429.24,Credit Card
73,103,209,Nandyal,Pallavaram,7.88,53,2023-05-02,2040.56,Cash
74,107,235,Phagwara,New Delhi,19.16,57,2023-07-25,803.85,Credit Card
75,114,248,Suryapet,Bhalswa Jahangir Pur,19.69,60,2023-03-04,606.43,Credit Card
76,147,227,Buxar,Pimpri-Chinchwad,19.56,33,2023-05-06,499.89,Cash
77,120,240,Durgapur,Panihati,8.17,7,2022-08-30,1264.26,Cash
78,133,222,Siwan,Kottayam,13.53,14,2023-07-22,848.56,Cash
79,114,242,Bareilly,Saharsa,6.20,25,2023-03-03,977.44,Cash
80,105,223,Ahmedabad,Maheshtala,15.03,38,2023-04-11,2191.05,Credit Card
81,110,235,Srikakulam,Danapur,13.73,56,2022-12-01,2095.68,Credit Card
82,150,244,Madanapalle,Nellore,10.34,44,2022-11-24,765.86,Cash
83,127,244,Darbhanga,Rajpur Sonarpur,2.43,14,2023-07-26,3045.56,Credit Card
84,127,243,Faridabad,Rajkot,7.72,40,2022-12-14,3482.88,Credit Card
85,150,215,Raipur,Bhiwani,5.45,36,2022-08-19,3426.26,Credit Card
86,146,225,Bulandshahr,Warangal,11.56,56,2022-09-16,2592.60,Cash
87,107,203,Dibrugarh,Maheshtala,12.60,5,2022-11-28,2429.45,Cash
88,132,229,Karnal,Etawah,6.43,41,2023-02-14,2270.01,Credit Card
89,134,206,Sangli-Miraj & Kupwad,Rohtak,19.53,24,2023-02-23,1598.02,Cash
90,138,215,Ghaziabad,Ludhiana,5.99,34,2023-05-13,2510.65,Cash
91,111,244,Tirupati,Thrissur,8.29,41,2023-04-29,2170.93,Credit Card
92,148,238,Meerut,Shahjahanpur,4.61,53,2022-08-21,2250.64,Credit Card
93,109,247,Kota,Eluru,10.53,51,2022-11-01,3532.04,Cash
94,111,216,Bhiwani,Orai,18.22,12,2023-01-19,2793.01,Cash
95,114,232,Serampore,Agra,10.61,45,2023-05-31,2892.84,Credit Card
96,122,237,Latur,Gulbarga,19.06,37,2023-04-04,2433.17,Credit Card
97,147,233,Hapur,Vellore,5.56,42,2022-12-25,2654.44,Cash
98,103,238,Davanagere,Ballia,11.41,38,2022-10-18,1136.12,Cash
99,137,216,Ahmedabad,Jorhat,10.83,53,2023-01-13,2842.92,Cash
100,117,216,Delhi,Rewa,4.29,46,2022-10-25,3140.17,Cash
101,144,236,Jalandhar,Korba,2.96,50,2022-10-21,2925.62,Credit Card
102,149,225,Kumbakonam,Davanagere,11.12,26,2023-06-04,421.67,Credit Card
103,140,213,Bareilly,Howrah,19.15,54,2023-03-23,961.05,Cash
104,143,206,Bhopal,Thrissur,2.90,22,2023-07-04,3095.47,Credit Card
105,131,229,Kolhapur,Jehanabad,4.65,9,2022-09-17,3580.47,Credit Card
106,147,205,Patiala,Pudukkottai,10.19,39,2023-02-27,2915.93,Cash
107,112,250,Kozhikode,Mahbubnagar,2.45,34,2023-05-04,2030.12,Cash
108,144,239,Durgapur,Warangal,3.59,21,2022-12-02,485.74,Cash
109,101,243,Darbhanga,Udupi,3.86,18,2023-07-08,2432.42,Credit Card
110,116,227,Gopalpur,Bhilai,1.47,58,2023-06-09,713.71,Credit Card
111,129,206,Secunderabad,Madhyamgram,13.99,31,2022-09-20,3141.66,Cash
112,117,214,Faridabad,Bhagalpur,16.26,47,2022-12-02,2743.84,Cash
113,102,206,Nangloi Jat,Sangli-Miraj & Kupwad,10.89,58,2022-09-06,2287.89,Credit Card
114,134,214,Gaya,Panvel,11.43,32,2023-04-20,2446.58,Credit Card
115,123,211,Navi Mumbai,Kulti,6.57,23,2022-08-28,2658.16,Credit Card
116,129,242,Ozhukarai,Anantapuram,15.36,24,2023-05-01,3032.15,Cash
117,130,225,Bijapur,Yamunanagar,16.52,17,2023-01-23,2199.24,Cash
118,112,212,Yamunanagar,Kirari Suleman Nagar,16.06,51,2022-10-25,2411.56,Credit Card
119,105,206,Bijapur,North Dumdum,8.66,7,2023-01-12,1844.62,Credit Card
120,132,221,Mysore,Noida,10.70,42,2023-02-03,454.45,Cash
121,142,208,Mathura,Sikar,19.11,18,2023-04-22,1651.67,Cash
122,102,224,Sambalpur,Mehsana,12.50,35,2022-08-16,1911.67,Cash
123,125,236,Kochi,Vellore,14.63,12,2023-08-04,2858.56,Cash
124,108,210,Thane,Gwalior,13.18,45,2022-12-21,837.38,Cash
125,101,229,Vadodara,Nagaon,2.22,37,2023-06-04,534.16,Cash
126,108,227,Motihari,Aizawl,11.48,32,2023-01-04,2753.52,Credit Card
127,112,243,Noida,Bathinda,10.90,35,2022-09-25,1566.74,Credit Card
128,143,229,Kumbakonam,Chapra,11.02,55,2023-01-14,2588.13,Credit Card
129,138,233,Buxar,Rohtak,8.22,26,2023-08-09,2824.29,Credit Card
130,143,213,Eluru,Farrukhabad,14.55,14,2023-02-27,2887.62,Credit Card
131,111,220,Korba,Chittoor,10.64,52,2023-04-20,2865.27,Cash
132,129,246,Ichalkaranji,Burhanpur,1.45,46,2023-01-07,1762.67,Cash
133,123,238,Jorhat,Bongaigaon,9.17,56,2022-08-14,3289.92,Cash
134,127,204,Durgapur,Jammu,3.31,25,2023-04-20,1820.78,Credit Card
135,144,207,Unnao,Sonipat,16.45,60,2022-08-18,511.07,Cash
136,128,230,Bidar,Srikakulam,6.87,47,2023-01-29,2651.46,Credit Card
137,102,204,Bihar Sharif,Madurai,14.77,48,2023-01-26,3265.34,Credit Card
138,148,249,Rampur,Jamnagar,12.21,36,2022-09-11,2392.94,Credit Card
139,107,212,Hazaribagh,Jalgaon,4.53,31,2022-12-01,1453.50,Credit Card
140,113,231,Meerut,Suryapet,4.30,47,2023-05-07,1239.68,Cash
141,122,216,Korba,Karawal Nagar,4.22,38,2022-10-20,3152.10,Cash
142,119,215,Ludhiana,Baranagar,3.83,60,2023-06-17,3273.53,Cash
143,140,224,Udupi,Patna,5.37,32,2023-05-10,2340.05,Credit Card
144,131,213,Siliguri,Khandwa,3.67,22,2023-03-09,1524.27,Cash
145,111,242,Bhind,Serampore,7.35,32,2022-12-24,2118.03,Cash
146,116,229,Kavali,Anantapur,12.72,6,2023-01-22,3680.30,Credit Card
147,102,236,Bongaigaon,Naihati,17.08,57,2022-09-18,3330.15,Credit Card
148,131,222,Dharmavaram,Avadi,17.00,9,2023-03-20,3188.60,Cash
149,135,223,Jorhat,Noida,10.67,39,2022-12-28,3341.33,Cash
150,103,201,Ongole,Chandigarh,3.54,12,2022-10-14,2300.56,Cash
151,102,249,Durgapur,Agartala,3.02,52,2023-03-05,2837.71,Cash
152,143,216,Visakhapatnam,Berhampore,4.77,24,2022-12-30,3597.61,Cash
153,148,249,Anantapur,Haridwar,18.11,30,2023-03-17,1253.09,Credit Card
154,147,233,Asansol,Tirunelveli,2.87,39,2022-10-20,3575.26,Cash
155,106,247,South Dumdum,Bihar Sharif,2.07,50,2023-06-22,3004.59,Cash
156,124,228,Kharagpur,Muzaffarnagar,11.32,54,2023-06-02,2185.09,Cash
157,144,231,Tinsukia,Nandyal,7.72,60,2023-01-24,2536.72,Cash
158,101,243,Ambattur,Danapur,5.80,54,2023-01-01,2270.01,Credit Card
159,147,239,Sikar,Muzaffarpur,8.75,34,2022-09-02,1553.33,Cash
160,148,205,Sasaram,Bareilly,1.87,50,2022-10-10,2445.84,Credit Card
161,113,210,Suryapet,Raurkela Industrial Township,19.94,6,2023-01-08,484.25,Credit Card
162,106,242,Karawal Nagar,Ujjain,12.17,32,2023-06-28,3692.97,Credit Card
163,139,219,Bikaner,Ludhiana,19.56,55,2023-07-14,2882.40,Credit Card
164,148,215,Kozhikode,Guwahati,19.13,5,2023-02-09,1150.28,Cash
165,128,222,Cuttack,Bhind,16.00,45,2023-04-03,1626.33,Cash
166,115,232,Akola,Salem,5.69,34,2022-08-17,2987.45,Credit Card
167,129,210,Lucknow,Mehsana,16.30,23,2022-08-25,2258.09,Cash
168,137,220,Belgaum,Bathinda,5.62,50,2023-07-05,3700.41,Credit Card
169,143,204,Rampur,Satara,3.78,37,2022-08-10,781.50,Credit Card
170,144,226,Raurkela Industrial Township,Sambalpur,5.54,24,2023-04-29,1784.27,Credit Card
171,103,232,Jamnagar,Gangtok,19.58,32,2023-02-10,1611.43,Cash
172,136,228,Bhusawal,Amravati,9.68,46,2023-01-24,2147.09,Credit Card
173,149,212,Mira-Bhayandar,Jaunpur,11.40,39,2022-12-13,2783.32,Credit Card
174,139,209,Bardhaman,Gwalior,10.12,40,2022-11-06,2717.76,Cash
175,138,222,Dindigul,Kochi,18.45,38,2023-05-19,679.44,Cash
176,116,230,Ujjain,Kamarhati,8.16,14,2023-05-13,778.52,Credit Card
177,145,245,Gorakhpur,Dhule,12.39,39,2023-06-24,2386.98,Credit Card
178,144,217,Surat,Tumkur,6.42,42,2022-09-24,3055.99,Credit Card
179,120,242,Kishanganj,Sultan Pur Majra,13.24,9,2022-09-02,518.52,Cash
180,132,207,Belgaum,Hosur,6.15,36,2022-09-29,1618.14,Cash
181,110,211,Jamshedpur,Buxar,13.18,52,2022-08-20,1278.42,Credit Card
182,106,242,Kochi,Nagpur,19.17,57,2023-02-17,2544.17,Cash
183,149,243,Bhavnagar,Haridwar,13.11,18,2022-10-29,2895.07,Cash
184,140,238,Dharmavaram,Pallavaram,13.92,49,2022-09-24,2346.01,Cash
185,137,232,Guna,Fatehpur,17.66,35,2022-12-10,2766.93,Cash
186,115,226,Malda,Alappuzha,3.04,20,2023-07-02,3486.60,Credit Card
187,146,235,Jalandhar,Ratlam,4.04,55,2023-04-28,932.74,Credit Card
188,147,210,Vijayawada,Mumbai,8.82,42,2023-05-16,2982.98,Credit Card
189,143,231,Surat,Tirunelveli,9.05,51,2022-12-29,2698.39,Cash
190,140,222,Pondicherry,Haridwar,12.77,5,2023-02-02,1148.79,Cash
191,137,224,South Dumdum,Karaikudi,15.28,31,2023-01-29,2023.42,Credit Card
192,113,224,Deoghar,Serampore,14.74,51,2023-03-14,2675.29,Credit Card
193,150,221,Sultan Pur Majra,Gwalior,11.23,16,2023-05-30,3498.52,Cash
194,110,213,Mau,Coimbatore,10.00,40,2023-01-17,3502.99,Cash
195,108,238,Loni,Guwahati,18.81,50,2023-01-26,407.51,Credit Card
196,150,216,Morbi,Thoothukudi,2.92,18,2023-01-23,1110.80,Credit Card
197,129,238,Kishanganj,Jehanabad,9.06,33,2023-01-18,1343.98,Credit Card
198,119,201,Bellary,Sikar,14.48,32,2023-03-07,1313.43,Cash
199,150,205,Tenali,Sonipat,14.21,39,2023-07-17,3178.17,Cash
200,114,214,Kakinada,Giridih,3.40,41,2023-01-15,1058.64,Credit Card
201,145,247,Nizamabad,Warangal,2.88,10,2023-01-05,2858.56,Credit Card
202,132,241,Howrah,Raiganj,4.51,20,2023-08-03,3493.30,Credit Card
203,140,224,Thiruvananthapuram,Rewa,8.87,26,2022-11-06,1875.17,Credit Card
204,126,215,Danapur,Kirari Suleman Nagar,9.92,41,2023-03-14,3655.72,Credit Card
205,140,239,Mahbubnagar,Muzaffarnagar,3.87,26,2023-04-09,2936.79,Cash
206,134,238,Udaipur,Bongaigaon,10.86,24,2022-10-06,1305.24,Credit Card
207,127,217,Secunderabad,Bhimavaram,18.23,17,2022-10-07,2986.71,Credit Card
208,137,210,Muzaffarpur,Jamalpur,18.62,21,2023-05-30,550.55,Credit Card
209,132,233,Nadiad,Amritsar,16.86,49,2022-12-25,1209.13,Cash
210,141,219,Mau,Muzaffarpur,12.17,5,2023-08-09,2145.60,Cash
211,107,242,Phusro,Chinsurah,7.07,37,2022-12-21,745.75,Cash
212,111,231,Rourkela,Satara,12.11,42,2023-05-27,2757.99,Cash
213,126,209,Phagwara,Kurnool,18.39,39,2023-05-29,2007.77,Cash
214,128,250,Bongaigaon,Ambattur,2.82,5,2022-10-03,786.72,Credit Card
215,129,224,Etawah,Khandwa,11.90,33,2022-12-21,2229.04,Cash
216,107,204,Tirunelveli,Chandrapur,16.67,23,2022-08-29,1250.11,Credit Card
217,121,222,Amravati,Bhilai,12.02,45,2023-07-12,1669.55,Cash
218,130,206,Tirunelveli,Vadodara,4.22,19,2023-08-01,553.53,Cash
219,147,212,Bangalore,Amravati,16.70,36,2023-03-25,2078.55,Credit Card
220,106,226,North Dumdum,Kalyan-Dombivli,10.64,47,2022-09-14,2226.06,Cash
221,111,208,Nandyal,Khandwa,16.90,54,2023-06-28,2902.52,Cash
222,106,207,Indore,Kumbakonam,14.54,45,2023-02-09,3253.41,Cash
223,110,209,Bongaigaon,Ujjain,8.96,9,2023-04-11,2532.26,Cash
224,117,221,Amaravati,Motihari,12.89,59,2023-05-07,2537.47,Cash
225,138,214,Dharmavaram,Siliguri,19.66,54,2022-10-21,2643.26,Credit Card
226,101,212,Khora ,Tadipatri,16.66,14,2023-06-12,732.34,Credit Card
227,107,244,Kochi,Ranchi,1.57,24,2023-07-06,2506.92,Cash
228,144,242,Nagercoil,Bilaspur,6.00,60,2023-08-09,2461.48,Credit Card
229,118,249,Jalandhar,Aurangabad,2.20,6,2023-02-09,1326.10,Credit Card
230,148,247,Karimnagar,Khandwa,8.14,34,2022-08-23,3133.47,Cash
231,122,237,New Delhi,Solapur,13.40,12,2023-07-03,823.23,Cash
232,108,236,Raebareli,Tinsukia,14.68,46,2023-01-26,885.81,Credit Card
233,125,244,Bhubaneswar,Tezpur,7.28,60,2022-09-15,876.12,Cash
234,144,210,Ahmednagar,Junagadh,2.39,48,2023-01-23,1191.26,Cash
235,122,219,Pimpri-Chinchwad,Shahjahanpur,8.90,43,2022-11-01,622.82,Cash
236,101,203,Karimnagar,Unnao,17.28,48,2022-12-01,1310.45,Cash
237,124,232,Hindupur,Junagadh,1.60,12,2022-09-28,2859.31,Cash
238,118,242,Korba,Bidhannagar,4.20,30,2023-01-07,3453.08,Cash
239,147,234,Rewa,Kakinada,3.24,31,2023-07-30,1938.49,Cash
240,115,232,Proddatur,Saharsa,11.09,43,2022-11-26,2635.06,Cash
241,149,213,Junagadh,Naihati,12.95,18,2023-01-13,823.97,Cash
242,150,209,Muzaffarnagar,Arrah,15.46,58,2023-04-21,558.00,Credit Card
243,110,221,Deoghar,Meerut,11.24,51,2023-06-25,470.84,Cash
244,108,226,Guntakal,Adoni,10.84,40,2023-03-14,3486.60,Credit Card
245,116,217,Malda,Allahabad,13.48,59,2022-11-27,1183.81,Credit Card
246,130,225,Unnao,Bidhannagar,11.67,24,2023-01-02,3000.86,Cash
247,129,237,Vadodara,Bhubaneswar,5.73,58,2022-08-10,3524.60,Cash
248,117,243,Varanasi,Amritsar,12.76,58,2023-08-04,904.43,Credit Card
249,124,232,Nashik,Dewas,12.94,19,2022-11-20,1308.96,Cash
250,129,201,Aurangabad,Surat,7.23,57,2023-07-25,2092.70,Credit Card
251,113,224,Khandwa,Dehri,16.59,26,2023-07-22,1568.23,Credit Card
252,113,220,Berhampur,Moradabad,2.67,57,2022-08-31,730.85,Cash
253,139,247,Kirari Suleman Nagar,Bikaner,4.57,36,2022-09-15,2960.63,Credit Card
254,122,250,Mumbai,Vellore,9.55,54,2023-08-02,1843.88,Credit Card
255,126,214,Moradabad,Jorhat,2.03,26,2023-06-18,3149.86,Cash
256,142,249,Jabalpur,Sambhal,12.06,30,2023-01-11,528.21,Cash
257,122,207,New Delhi,Bilaspur,7.24,46,2023-04-07,2142.62,Cash
258,141,241,Amaravati,Machilipatnam,8.12,42,2023-01-18,955.84,Credit Card
259,132,206,Jamnagar,Ozhukarai,5.48,38,2023-05-25,3436.69,Credit Card
260,101,217,Thane,Jhansi,11.10,27,2022-10-26,2152.30,Credit Card
261,144,206,Mira-Bhayandar,Bulandshahr,14.89,18,2022-09-13,1101.86,Cash
262,109,202,Vasai-Virar,Dehradun,2.70,20,2023-03-04,709.24,Cash
263,118,202,Panvel,Karawal Nagar,2.56,54,2023-03-29,1962.33,Credit Card
264,149,215,Bangalore,Udupi,3.22,25,2022-09-06,771.82,Cash
265,107,235,Bidar,Tadipatri,7.75,24,2023-03-28,1028.10,Cash
266,110,212,Warangal,Thoothukudi,7.16,22,2023-02-07,1924.33,Credit Card
267,113,210,Ranchi,Tiruvottiyur,6.77,39,2023-02-09,2385.49,Cash
268,127,237,Bardhaman,Vijayanagaram,4.30,44,2023-08-08,2956.16,Credit Card
269,122,233,Bokaro,Bhopal,2.59,23,2023-03-22,3321.21,Credit Card
270,145,234,Tenali,Naihati,6.84,25,2022-09-10,1907.94,Credit Card
271,130,212,Indore,Alappuzha,14.40,29,2023-05-04,3216.16,Cash
272,114,220,Thane,Eluru,3.25,10,2023-07-31,2358.67,Cash
273,102,248,Dewas,Davanagere,15.59,23,2023-05-23,1780.55,Cash
274,115,216,Shahjahanpur,Jodhpur,16.88,9,2022-10-05,2065.89,Credit Card
275,147,231,Jaipur,Akola,10.75,6,2022-12-18,2580.68,Cash
276,137,209,Nashik,Ongole,5.18,30,2023-01-09,504.36,Credit Card
277,149,208,Anand,Khandwa,6.96,23,2023-02-02,1698.60,Credit Card
278,109,207,Tiruppur,New Delhi,17.65,43,2023-07-21,1955.62,Credit Card
279,123,230,Bihar Sharif,Katni,14.53,31,2023-07-31,1371.55,Cash
280,140,207,Guwahati,Pali,10.48,36,2023-03-04,1550.34,Credit Card
281,126,201,Kurnool,Nizamabad,2.88,47,2023-05-06,3212.44,Cash
282,130,232,Hapur,Bhilai,3.69,15,2022-10-21,2414.54,Cash
283,107,240,Naihati,Bijapur,16.17,29,2023-01-27,2827.28,Cash
284,119,208,Khandwa,Rohtak,10.03,12,2022-11-09,3264.59,Cash
285,135,216,Dharmavaram,Malda,15.24,20,2023-06-17,1449.02,Credit Card
286,117,237,Gurgaon,Thrissur,9.11,57,2023-04-25,857.50,Cash
287,116,250,Dehri,Gulbarga,16.79,35,2023-03-03,709.98,Credit Card
288,107,208,Thane,Cuttack,18.68,48,2022-12-21,676.46,Credit Card
289,112,203,Ranchi,Hajipur,17.97,32,2023-02-08,2374.32,Credit Card
290,122,249,Panvel,Suryapet,14.58,33,2022-11-29,832.16,Credit Card
291,120,246,Thrissur,Tirunelveli,2.73,21,2023-06-29,730.85,Credit Card
292,106,215,Etawah,Adoni,18.95,17,2023-05-27,1542.89,Credit Card
293,119,211,Serampore,Bhiwandi,12.91,10,2023-05-22,2921.14,Cash
294,138,244,Jehanabad,Muzaffarnagar,12.73,56,2023-07-09,2577.70,Cash
295,122,244,Karaikudi,Muzaffarnagar,6.77,37,2023-02-16,1545.88,Cash
296,141,222,Rourkela,Guna,10.54,36,2023-05-14,1289.59,Cash
297,107,205,Ongole,Muzaffarnagar,15.50,8,2023-06-20,569.93,Cash
298,148,247,Jalgaon,Ramgarh,7.76,15,2023-02-02,1712.75,Credit Card
299,135,232,Karawal Nagar,Dhule,6.28,21,2023-01-05,2790.77,Cash
300,121,241,Dehradun,Nellore,13.11,25,2022-11-13,2970.31,Cash
301,133,204,Warangal,Katni,15.04,46,2023-02-20,2784.81,Cash
302,145,232,Ghaziabad,Tirupati,4.22,50,2023-06-05,1661.35,Credit Card
303,133,216,Sonipat,Rohtak,18.63,9,2022-08-23,3638.58,Credit Card
304,103,220,Jalna,Kakinada,11.48,21,2023-03-31,2442.11,Cash
305,121,212,Vijayanagaram,Hubli–Dharwad,5.68,25,2023-06-23,1249.37,Cash
306,141,243,Rourkela,Sagar,12.22,28,2023-07-07,2060.67,Credit Card
307,124,207,Ajmer,Rajpur Sonarpur,2.68,5,2023-07-25,3067.16,Cash
308,133,240,Jabalpur,Begusarai,6.99,41,2023-01-23,2346.75,Cash
309,107,236,Ramagundam,Jalgaon,7.46,41,2022-12-20,2217.86,Cash
310,122,246,Loni,Srinagar,16.64,53,2022-10-16,2027.89,Credit Card
311,141,230,Hospet,Jammu,3.57,9,2022-11-11,2071.84,Cash
312,110,210,Moradabad,Gaya,4.07,24,2022-12-10,2460.74,Credit Card
313,132,233,Yamunanagar,Morbi,19.56,32,2022-09-18,2322.16,Credit Card
314,124,208,Karimnagar,Ongole,8.84,50,2023-01-22,1535.44,Credit Card
315,114,228,Dhanbad,North Dumdum,2.47,52,2022-09-06,3679.55,Cash
316,107,229,Bally,Mehsana,15.07,51,2022-10-14,3546.20,Credit Card
317,105,219,Jehanabad,Amravati,13.97,8,2023-01-14,2562.05,Cash
318,109,232,Ballia,Haldia,7.65,39,2022-10-09,860.48,Cash
319,141,224,Bardhaman,Kharagpur,2.19,45,2022-08-19,397.83,Credit Card
320,140,241,Kottayam,Silchar,15.83,40,2023-01-23,446.25,Credit Card
321,105,201,Nagpur,Ramgarh,18.89,31,2023-05-08,1434.12,Cash
322,101,232,Vijayanagaram,Ambarnath,11.27,32,2022-08-13,2913.70,Cash
323,108,250,Vijayawada,Nagpur,15.62,39,2023-02-26,1651.67,Credit Card
324,101,208,Vadodara,Ambattur,9.50,9,2022-12-16,2345.26,Cash
325,104,244,Kanpur,Bidar,13.50,36,2023-05-28,458.18,Credit Card
326,115,247,Nagaon,Dindigul,1.98,50,2022-11-27,1440.83,Cash
327,137,212,Warangal,Rohtak,17.35,20,2023-08-03,703.28,Credit Card
328,111,250,Eluru,Morena,9.31,21,2022-11-06,2056.20,Credit Card
329,110,216,Jaipur,Panvel,13.34,53,2022-11-16,984.89,Cash
330,115,248,Ranchi,Pune,10.77,38,2022-08-31,3026.19,Cash
331,130,204,Saharsa,Meerut,16.84,45,2022-12-19,1159.22,Credit Card
332,139,248,Thane,Bidar,18.16,34,2023-05-08,1449.02,Credit Card
333,142,231,Farrukhabad,Sambhal,18.53,30,2023-06-06,2454.03,Credit Card
334,115,208,Satna,Alappuzha,17.30,58,2023-03-25,2774.38,Credit Card
